eps	nCompTar.m	nCompTar.std	nEndColl.m	nEndColl.std	nNonEndColl.m	nNonEndColl.std
2.08	1696.347	18.34444305505076	0.0	0.0	0.461	0.9677184507903113
2.12	1695.319	18.319149516284863	0.0	0.0	0.405	0.9038666937109697
2.16	1694.18	18.274670995670483	0.0	0.0	0.365	0.8530972980850426
2.2	1692.961	18.272642912288305	0.0	0.0	0.335	0.8153373534924057
2.24	1691.683	18.260791631251916	0.0	0.0	0.297	0.7620964505887691
2.2800000000000002	1690.384	18.201443459242455	0.0	0.0	0.289	0.7493190241812896
2.32	1688.994	18.196097493693532	0.0	0.0	0.285	0.7455031857745479
2.36	1687.526	18.199816592482463	0.0	0.0	0.265	0.7090662874513215
2.4	1685.988	18.183890012865785	0.0	0.0	0.247	0.6840986770927131
2.44	1684.382	18.167610629909483	0.0	0.0	0.233	0.6623526251174672
2.48	1682.774	18.200464939116255	0.0	0.0	0.231	0.6660623093975518
2.52	1681.024	18.18734241168841	0.0	0.0	0.211	0.6359866350797003
2.56	1679.28	18.173981401993345	0.0	0.0	0.203	0.6130179442724332
2.6	1677.445	18.15954225744691	0.0	0.0	0.191	0.5970921201958708
2.64	1675.522	18.128031222391474	0.0	0.0	0.183	0.5792331136943053
2.68	1673.562	18.008169146251376	0.0	0.0	0.169	0.5589624316535057
2.72	1671.493	17.9920524398969	0.0	0.0	0.161	0.5468811571081965
2.7600000000000002	1669.37	18.003641298359618	0.0	0.0	0.159	0.5438005148949382
2.8000000000000003	1667.25	17.96356033752775	0.0	0.0	0.147	0.5247770955367621
2.84	1665.072	17.96287326682455	0.0	0.0	0.139	0.511545696883475
2.88	1662.797	17.99343744257889	0.0	0.0	0.131	0.4978343097858966
2.92	1660.519	17.973303508259132	0.0	0.0	0.125	0.4872114530673515
2.96	1658.126	18.02221196190967	0.0	0.0	0.117	0.47255793295637305
3.0	1655.643	18.011816982192553	0.0	0.0	0.111	0.4611713347553163
3.04	1653.028	18.053343623827693	0.0	0.0	0.105	0.4494162880893393
3.08	1650.415	18.057042255031693	0.0	0.0	0.102	0.4399954545219757
3.12	1647.758	18.1452868811711	0.0	0.0	0.1	0.4358898943540673
3.16	1645.104	18.241688079780335	0.0	0.0	0.098	0.4317360304630597
3.2	1642.367	18.245227074498143	0.0	0.0	0.088	0.41019019978541665
3.24	1639.531	18.302924329188492	0.0	0.0	0.086	0.4057141851106515
