eps	nCompTar.m	nCompTar.std	nEndColl.m	nEndColl.std	nNonEndColl.m	nNonEndColl.std
0.0	1707.331	18.152284677141882	31.113	7.774331546827677	0.456	0.9413097258607286
0.04	1707.331	18.15459828803711	31.111	7.772302039936431	0.456	0.9413097258607286
0.08	1707.329	18.158545068369328	31.107	7.765149773185319	0.456	0.9413097258607286
0.12	1707.318	18.160916166317158	31.083	7.768275934851954	0.456	0.9413097258607286
0.16	1707.31	18.15824606067447	31.061	7.776456712410865	0.456	0.9413097258607286
0.2	1707.285	18.161656725089813	31.015	7.757884698808046	0.456	0.9413097258607286
0.24	1707.257	18.164056567848494	30.951	7.744068633476849	0.456	0.9413097258607286
0.28	1707.221	18.171080292596802	30.895	7.733432291033523	0.456	0.9413097258607286
0.32	1707.171	18.178057074396044	30.823	7.735222750509516	0.456	0.9413097258607286
0.36	1707.115	18.17261057195691	30.721	7.725228734477705	0.454	0.9401510516932904
0.4	1707.051	18.174718677327583	30.589	7.674899282726777	0.454	0.9401510516932904
0.44	1706.978	18.167925473206896	30.451	7.658955477086938	0.458	0.9424627313586463
0.48	1706.881	18.173135090016803	30.289	7.640384741621327	0.458	0.9424627313586463
0.52	1706.776	18.158959882107787	30.115	7.613525792955587	0.458	0.9382089319549244
0.56	1706.681	18.161476784667045	29.949	7.593707855850131	0.46	0.9393614852653903
0.6	1706.587	18.157269370695584	29.791	7.592583157266044	0.46	0.9393614852653903
0.64	1706.461	18.145701391789736	29.581	7.529902987422879	0.462	0.9405083731684689
0.68	1706.3	18.150592276837692	29.315	7.496250729531397	0.462	0.9405083731684689
0.72	1706.134	18.161168574736593	29.037	7.466969331663282	0.464	0.9416496163648133
0.76	1705.957	18.165108064638645	28.731	7.4329428223281795	0.466	0.9470184792283622
0.8	1705.789	18.170979032512253	28.444	7.361851940918127	0.464	0.9458879426232264
0.84	1705.577	18.19708962993808	28.099	7.379512111244212	0.466	0.9512328842086989
0.88	1705.358	18.19191677641474	27.721	7.352085350429496	0.468	0.952352875776621
0.92	1705.088	18.21620860662284	27.244	7.270932814983233	0.47	0.9534673565466204
0.96	1704.831	18.226970099278706	26.824	7.272071506799146	0.468	0.9481434490624296
1.0	1704.551	18.20262066297048	26.378	7.191878475057821	0.468	0.9481434490624296
1.04	1704.234	18.217937424417723	25.87	7.116256038114424	0.472	0.9545763458204902
1.08	1703.949	18.22274400303094	25.309	6.99925131710528	0.47	0.9534673565466204
1.12	1703.615	18.204031833635096	24.712	6.920047398681601	0.476	0.9651031033003676
1.16	1703.244	18.204847266593585	24.025	6.871708302889464	0.478	0.9661863174357211
1.2	1702.873	18.197166565155136	23.366	6.749818071622375	0.48	0.9672641831474997
1.24	1702.45	18.215199696956386	22.676	6.663409337568869	0.48	0.9631199302267605
1.28	1702.033	18.18713586577062	21.944	6.540861105389718	0.482	0.9641970752911461
1.32	1701.55	18.184320168760777	21.166	6.4400655276169365	0.482	0.9641970752911461
1.36	1701.127	18.191780314196848	20.416	6.287999999999999	0.482	0.9641970752911461
1.4000000000000001	1700.629	18.191518875563965	19.576	6.089845975063737	0.482	0.9641970752911461
1.44	1700.117	18.20679299052966	18.646	5.825863369492972	0.476	0.9567779261667778
1.48	1699.625	18.20682221036939	17.695	5.647652167051366	0.476	0.9567779261667778
1.52	1699.032	18.182215926558566	16.671	5.457541479457577	0.48	0.9589577675789481
1.56	1698.429	18.156898386012962	15.524	5.301454894649203	0.484	0.9611160179707754
1.6	1697.886	18.18689099324016	14.411	5.150153298689273	0.49	0.9725739046468396
1.6400000000000001	1697.348	18.229999890290728	13.375	4.973969742569812	0.492	0.9736200490951281
1.68	1696.708	18.25241726457074	12.13	4.764147352884879	0.488	0.9715225164657791
1.72	1696.037	18.2625198425628	10.855	4.473027498238749	0.486	0.9745788834158065
1.76	1695.33	18.22484842186623	9.428	4.258734084208593	0.495	0.9828402718651692
1.8	1694.65	18.254465207176025	8.069	3.9405886616088206	0.503	0.9949829144261723
1.84	1693.982	18.293924565275763	6.639	3.5491800461515055	0.505	0.9999874999218741
1.8800000000000001	1693.236	18.29536290976487	5.013	3.063467153406415	0.502	0.9949854270289591
1.92	1692.504	18.26680004817483	3.416	2.474862420418557	0.501	0.9949869345875855
1.96	1691.756	18.26391151971559	1.808	1.9045041349390661	0.501	0.9949869345875854
2.0	1690.898	18.203559981498124	0.0	0.0	0.5	0.99498743710662
2.04	1689.957	18.236368909407375	0.0	0.0	0.404	0.8970975420766685
2.08	1688.877	18.232714306981286	0.0	0.0	0.338	0.8256851700254765
2.12	1687.798	18.199318558671365	0.0	0.0	0.292	0.7554707141908281
2.16	1686.603	18.141592846274552	0.0	0.0	0.254	0.7067418199031382
2.2	1685.316	18.160400436113736	0.0	0.0	0.226	0.6640210840026092
2.24	1684.002	18.150977824899684	0.0	0.0	0.198	0.6170867037945316
2.2800000000000002	1682.659	18.1046049114583	0.0	0.0	0.196	0.6079342069665105
2.32	1681.211	18.098245191178066	0.0	0.0	0.192	0.6026076667285274
2.36	1679.707	18.133977804111268	0.0	0.0	0.184	0.5917296680072751
2.4	1678.115	18.127707384001983	0.0	0.0	0.174	0.577688497375532
2.44	1676.457	18.13268184797825	0.0	0.0	0.16	0.5499090833947008
2.48	1674.801	18.159223524148825	0.0	0.0	0.156	0.5437499425287325
2.52	1673.003	18.156568811314543	0.0	0.0	0.148	0.5311271034319376
2.56	1671.212	18.114112067667026	0.0	0.0	0.138	0.5069082757264869
2.6	1669.351	18.10087840409962	0.0	0.0	0.138	0.5069082757264869
2.64	1667.38	18.07654834308807	0.0	0.0	0.136	0.5034918072819059
2.68	1665.371	17.986143527727116	0.0	0.0	0.128	0.48950587330490736
2.72	1663.231	17.989486902077	0.0	0.0	0.126	0.48592592028003617
2.7600000000000002	1661.065	17.99824366431347	0.0	0.0	0.124	0.48231110292009655
2.8000000000000003	1658.896	17.962994850525345	0.0	0.0	0.112	0.45984345162239726
2.84	1656.682	17.96020256010494	0.0	0.0	0.11	0.45596052460711994
2.88	1654.365	17.993992747581068	0.0	0.0	0.104	0.4440540507640934
2.92	1652.042	17.975823652895574	0.0	0.0	0.1	0.4358898943540673
2.96	1649.586	18.014566439412302	0.0	0.0	0.092	0.4189701660023062
3.0	1647.057	18.004159269457713	0.0	0.0	0.086	0.4057141851106515
3.04	1644.38	18.040000000000003	0.0	0.0	0.084	0.40117826461561945
3.08	1641.73	18.038323092793302	0.0	0.0	0.082	0.39658038277252194
3.12	1639.02	18.12213011762138	0.0	0.0	0.08	0.3919183588453085
3.16	1636.344	18.2133375305022	0.0	0.0	0.08	0.3919183588453085
3.2	1633.552	18.242020063578483	0.0	0.0	0.072	0.3725801927102405
